n,integral_error,stratified_sampling_error,antitetic_variaty_error,combined_error
1000000,0.000161035914045482,0.00017803636174984483,0.000028797024747118094,0.000006445467274796002
6000000,0.000032395134203278,0.00007971895350045166,0.00011502762095161323,0.000000903496063076048
11000000,0.000036925053536918107,0.000019353490195217482,0.0000418918803728463,0.00001190383268800943
16000000,0.00005699333012998409,0.000009158988930502154,0.000018074728133643525,0.000014320677926615843
21000000,0.00009867861904999664,0.00002480246226910232,0.000014088103831744192,0.000008975059138549568
26000000,0.000042821709532292473,0.00006780465536881941,0.000004526859243236814,0.0000009694072125032704
31000000,0.00006762095185963712,0.00003972160789622592,0.000023484530642714496,0.000019376256226832922
36000000,0.000054594600212065636,0.000018473381479644502,0.000011460556095244101,0.000009110759182306971
41000000,0.000011852896966035864,0.00001114614849218043,0.00001615713819203002,0.00000024447495838852973
46000000,0.00006795644945212231,0.00000031842253367386775,0.00002288689347196282,0.000007483252736362189
51000000,0.0000007309677437783435,0.000012544994586694003,0.000025394517950472206,0.000010783341077402753
56000000,0.000024777425519539875,0.000003954158119157114,0.00000523251206185904,0.000008837725341326319
61000000,0.0000320307979162493,0.0000230025019879454,0.0000027546661107713533,0.000004612722053654039
66000000,0.000011586151078102347,0.000017721744293375252,0.000003276127064189005,0.000000026068025626990732
71000000,0.00001051439123933573,0.00000206666971425129,0.00001766472323716517,0.000007119564448543336
76000000,0.000026536132140986268,0.000010713167496234632,0.000005429206771490058,0.0000028575361684657352
81000000,0.0000073729601735017525,0.000010249122474936811,0.000010203572814448947,0.000001951282575518576
86000000,0.00004063524324682266,0.000017855256308818568,0.0000004079443274296324,0.0000022277358484590337
91000000,0.000013406194849241437,0.000006951497900420378,0.000004073376773772175,0.000006401373830455803
96000000,0.00000387852187289095,0.000005988152600444607,0.000018664087557795916,0.000003967138175520191
